word,definition
AAHED,"AAH, to exclaim in surprise [v]"
AARGH,"an exclamation indicating dismay, also AARRGH, AARRGHH, ARGH [interj]"
ABACK,towards the back [adv]
ABACS,"ABAC, a nomogram, a chart or diagram of scaled lines or curves used to assist in mathematical calculations [n]"
ABAFT,towards or at the stern of a ship [adv]
ABAMP,"short for ABAMPERE, a unit of electric current equivalent to 10 amperes [n -S]"
ABASE,"to lower in rank, prestige, or esteem [v ABASED, ABASING, ABASES]"
ABASH,"to strike with shame [v -ED, -ING, -ES]"
ABASK,in genial warmth [adv]
ABATE,"to reduce in intensity [v ABATED, ABATING, ABATES]"
ABAYA,"a Syrian cloth of goat's or camel's hair; an outer garment made of it, also ABA, ABBA [n -S]"
ABCEE,"the alphabet, also ABSEY [n -S]"
ABEAM,"in a line at right angles to the length of a vessel, on the beam [adv]"
ABEAR,"to bear; to behave [v ABORE, ABORNE, ABEARING, ABEARS]"
ABETS,"ABET, to incite by encouragement and support [v]"
ABHOR,"to loathe, hate [v ABHORRED, ABHORRING, ABHORS]"
ABIDE,"to wait for; to stay, dwell [v ABID or ABODE or ABIDED, ABIDDEN, ABIDING, ABIDES]"
ABLER,"ABLE, competent, also HABLE [adj]"
ABLET,"a small freshwater fish, aka bleak [n -S]"
ABLOW,in a blowing state [adv]
ABMHO,a unit of electrical conductance [n -S]
ABODE,"a dwelling-place [n -S] / to presage, forebode [v ABODED, ABODING, ABODES]"
ABOHM,a unit of electrical resistance [n -S]
ABOIL,boiling [adj]
ABOMA,a South American snake [n -S]
ABORE,"ABEAR, to bear; to behave [v]"
ABORT,"to bring forth a foetus prematurely, to cause to come to nothing [v -ED, -ING, -S]"
ABOUT,approximately [adv]
ABOVE,the upper part [n -S]
ABRIM,in a brimming state [adv]
ABRIN,a poisonous protein present in the jequirity bean [n -S]
ABUSE,"to revile or swear at; to use wrongly [v ABUSED, ABUSING, ABUSES]"
ABUTS,"ABUT, to be adjacent to and touching [v]"
ABYSS,a bottomless chasm [n -ES]
ACERB,"bitter and sour, also ACERBIC [adj ACERBER, ACERBEST]"
ACHAR,"a spicy pickle made primarily from mango, used in Indian cooking [n -S]"
ACHED,"ACHE, to endure a dull lasting pain, also AKE [v]"
ACHES,"ACHE, to endure a dull lasting pain, also AKE [v]"
ACHOO,"an imitation of the sound of a sneeze, also AHCHOO, ATISHOO [n -S]"
ACIDS,"ACID, a type of chemical compound [n]"
ACIDY,"resembling acid, sour [adj ACIDIER, ACIDIEST]"
ACING,"ACE, to serve an unreturnable shot e.g. in tennis [v]"
ACMIC,relating to the highest point [adj]
ACNED,afflicted with acne [adj]
ACNES,"ACNE, a skin disease caused by inflammation of the sebaceous follicles, esp. on the face, neck, and shoulders [n]"
ACOCK,"in a cocked position, defiantly [adj]"
ACORN,the fruit of the oak tree [n -S]
ACRED,"possessing acres, landed [adj]"
ACRES,"ACRE, a measure of land equivalent to 4840 square yards [n]"
ACRID,"sharp to the taste or smell [adj ACRIDER, ACRIDEST, ACRIDLY]"
ACROS,"ACRO, a skiing event in which a skier performs acrobatic moves to music [n]"
ACTED,"ACT, to do something in a specified way [v]"
ACTIN,a protein found in muscle tissue [n -S]
ACTON,a stuffed jacket worn under mail [n -S]
ACTOR,a theatrical performer [n -S]
ACUTE,"a type of accent mark [n -S] / sharply pointed [adj ACUTER, ACUTEST, ACUTELY]"
ACYLS,"ACYL, an organometallic compound [n]"
ADAGE,"a proverb, a traditional saying expressing a common observation [n -S]"
ADAPT,"to make suitable [v -ED, -ING, -S]"
ADBOT,a specialized computer program that inflicts ads on users [n -S]
ADDAX,a large light-coloured African antelope with curled horns [n -ES]
ADDED,"ADD, to compute the sum of [v]"
ADDER,a venomous snake [n -S]
ADDLE,"to confuse [v ADDLED, ADDLING, ADDLES]"
ADEEM,"to cancel a bequest by destruction of the thing bequeathed [v -ED, -ING, -S]"
ADEPT,"an expert [n -S] / highly skilled [adj ADEPTER, ADEPTEST, ADEPTLY]"
ADITS,"ADIT, a nearly horizontal shaft to the surface in a mine [n]"
ADMAN,a man employed in advertising [n ADMEN]
ADMEN,"ADMAN, a man employed in advertising [n]"
ADMIT,"to allow to enter; to confess [v ADMITTED, ADMITTING, ADMITS]"
ADMIX,"to mix [v ADMIXED or ADMIXT, ADMIXING, ADMIXES]"
ADOPT,"to take as one's own [v -ED, -ING, -S]"
ADORE,"to love deeply [v ADORED, ADORING, ADORES]"
ADORN,"to embellish [v -ED, -ING, -S]"
ADOZE,dozing [adj]
ADULT,grown up [adj ADULTLY] / a fully developed individual [n -S]
ADZED,"ADZ, to dress timber with an arched blade set at right angles to the handle, also ADZE [v]"
ADZES,"ADZE, to dress timber with a cutting tool with an arched blade set at right angles to the handle, also ADZ [v]"
AEONS,"AEON, the largest division of geological time, composed of several eras, also EON [n]"
AERIE,"the nest of a bird of prey, also EYRIE, EYRY [n -S]"
AESIR,"AS, a Norse god living in Asgard [n]"
AFALD,"onefold, also AEFALD, AEFAULD, AFAWLD [adj]"
AFARS,"AFAR, a great distance [n]"
AFIRE,on fire [adj]
AFOOT,on foot [adv]
AFORE,before [adv]
AFOUL,entangled [adj]
AFROS,"AFRO, a thick curly African hairstyle, also FRO [n]"
AFTER,later in time [prep]
AGAIN,"once more, also AGEN [adv]"
AGAMI,a crane-like bird of South America [n -S]
AGATE,a variety of quartz [n -S]
AGAVE,any of numerous spiny-leaved plants of the American genus Agave [n -S]
AGENE,a chemical compound used in bleaching flour [n -S]
AGENT,"a person or thing that acts [n -S] / to act for another with authority [v -ED, -ING, -S]"
AGERS,"AGER, one that ages [n]"
AGGIE,a type of playing marble [n -S]
AGGRI,"ancient West African variegated glass beads, also AGGRY [n]"
AGGRY,"ancient West African variegated glass beads, also AGGRI [n]"
AGILE,"able to move quickly and easily [adj AGILER, AGILEST, AGILELY]"
AGING,the process of growing old [n -S]
AGISM,"discrimination based on age, also AGEISM [n -S]"
AGITA,a feeling of agitation [n -S]
AGLET,"a metal sheath at the end of a lace, also AIGLET [n -S]"
AGLOW,glowing [adj]
AGONS,"AGON, the dramatic conflict between the chief characters in a literary work [n]"
AGONY,extreme suffering [n AGONIES]
AGORA,a marketplace in ancient Greece [n AGORAS or AGORAE] / a monetary unit of Israel [n AGOROT or AGOROTH]
AGREE,"to have the same opinion [v AGREED, AGREEING, AGREES]"
AGRIA,a skin condition with extensive pus blisters [n -S]
AGRIN,a proteoglycan that plays a role in the development of the neuromuscular junction [n -S]
AGROS,"AGRO, a student of agricultural studies [n]"
AGUED,"suffering from the ague, a malarial fever [adj]"
AGUES,"AGUE, a malarial fever [n]"
AGUTI,"a burrowing South American rodent, also AGOUTI, ACOUCHI, ACOUCHY, AGOUTY [n -S]"
AHEAD,further on [adv]
AHING,"AH, to say ah [v]"
AHULL,"with sails furled, and helm lashed to the lee side [adv]"
AIDAS,"AIDA, a finely-meshed cotton fabric used for cross-stitch embroidery [n]"
AIDED,"AID, to help [v]"
AIDER,one who aids [n -S]
AIERY,"the nest of a bird of prey, also EYRIE, AERIE, AERY, AYRIE [n AIERIES]"
AIGHT,an informal or dialect word for all right [interj]
AILED,"AIL, to be indisposed [v]"
AIMED,"AIM, to direct a course [v]"
AIMER,one who aims [n -S]
AIRED,"AIR, to make known publicly [v]"
AIRER,a frame on which to dry clothes [n -S]
AIRNS,"AIRN, to iron [v]"
AIRTS,"AIRT, to direct, also AIRTH [v]"
AISLE,a passage between seats [n -S]
AITCH,the letter H [n -ES]
AITUS,"AITU, a Polynesian demigod [n]"
AIYEE,an interjection used to express great alarm [interj]
AJWAN,"the fruit of an Egyptian plant of the caraway genus, also AJOWAN [n -S]"
AKELA,a leader of a cub scout pack [n -S]
AKENE,"a dry one-seeded fruit, also ACHENE [n -S]"
AKING,"AKE, to endure a dull lasting pain, also ACHE [v]"
ALAND,"a large hunting dog, also ALAN, ALANT [n -S]"
ALANS,"ALAN, a large hunting dog, also ALAND, ALANT [n]"
